visit_id,provider_id,provider_type_raw,jurisdiction_raw,region_raw,rural_urban_raw,enrollment_year,visit_date_raw,scheduled_visit_year,doses_administered,staff_turnover,prior_technical_assistance,site_visit_delay_days,raw_prior_noncompliance_flag,training_compliant,eligibility_compliant,documentation_compliant,inventory_compliant,storage_handling_compliant
V004445,P01298,Pediatric practice,Kentucky,Southeast,Rural,2011,2020-07-04,2020,2949.0,0,0,36,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001421,P00407,Retail Pharmacy,Georgia,Southeast,Rural,2023,2020-04-16,2020,763.0,0,0,18,0,Compliant,Compliant,Compliant,Compliant,Non-compliant
V004365,P01275,Public Health Clinic,Florida,Southeast,UNK,2013,2024-10-08,2024,2672.0,0,0,26,0,Compliant,Non-compliant,Compliant,Compliant,Compliant
V001933,P00568,Pediatric Practice,Florida,Southeast,Urban,2018,2023-04-17,2023,4641.0,1,1,22,1,Compliant,Compliant,Non-compliant,Missing,Compliant
V000731,P00211,Retail Pharmacy,South Carolina,Southeast,Suburban,2024,2022-02-22,2022,784.0,1,0,37,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001585,P00462,Pediatric practice,Arkansas,South Central,Suburban,2012,2021-04-23,2021,1910.0,0,0,15,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002995,P00876,Retail Pharmacy,Mississippi,Southeast,Suburban,2015,2025-04-19,2025,990.0,0,1,15,1,Compliant,Compliant,Compliant,Compliant,Compliant
V001166,P00333,public health clinic,Florida,Southeast,Rural,2020,2019-03-01,2019,3881.0,0,1,25,0,Non-compliant,Non-compliant,Compliant,Compliant,Compliant
V001380,P00396,Private Clinic,Georgia,Southeast,Suburban,2016,2025-12-19,2025,1594.0,0,0,20,1,Compliant,Compliant,Non-compliant,Non-compliant,Compliant
V004006,P01169,Pharmacy,Louisiana,South Central,Suburban,2014,2020-01-02,2020,593.0,1,1,49,0,Compliant,Compliant,Compliant,Non-compliant,Compliant
V000785,P00226,Private Clinic,Arkansas,South Central,Rural,2014,2023-02-22,2023,1685.0,1,1,18,1,Non-compliant,Compliant,Missing,Missing,Non-compliant
V004060,P01183,Hospital System,Georgia,Southeast,Urban,2021,2023-12-14,2023,2839.0,0,1,17,1,Compliant,Non-compliant,Non-compliant,Compliant,Compliant
V004390,P01283,Pharmacy,Georgia,Southeast,Urban,2013,2020-08-18,2020,995.0,0,0,51,0,Compliant,Compliant,Compliant,Compliant,Non-compliant
V001935,P00569,Pharmacy,Florida,Southeast,Urban,2024,2022-02-03,2022,850.0,0,0,11,0,Compliant,Compliant,Missing,Compliant,Compliant
V004271,P01250,Pharmacy,Florida,Southeast,Urban,2021,2019-02-11,2019,2187.0,0,0,22,0,Compliant,Compliant,Compliant,Non-compliant,Compliant
V003837,P01118,Public Health Clinic,Virginia,Mid-Atlantic,Urban,2011,2025-10-24,2025,4730.0,0,1,0,1,Compliant,Compliant,Compliant,Compliant,Compliant
V001459,P00422,Pediatric Practice,Tennessee,Southeast,rural ,2018,2025-06-08,2025,1525.0,1,1,31,1,Compliant,Compliant,Compliant,Non-compliant,Non-compliant
V002220,P00660,Public clinic,Arkansas,South Central,Rural,2011,2023-06-15,2023,3408.0,1,0,56,0,Compliant,Compliant,Compliant,Compliant,Non-compliant
V000267,P00075,Private Clinic,Virginia,Mid-Atlantic,Suburban,2016,2024-01-19,2024,1779.0,0,1,30,1,Non-compliant,Non-compliant,Non-compliant,Compliant,Non-compliant
V000335,P00093,Private Clinic,North Carolina,Southeast,Urban,2023,2021-04-10,2021,1277.0,0,1,14,1,Compliant,Non-compliant,Compliant,Compliant,Non-compliant
V004238,P01242,Pharmacy,Louisiana,South Central,Rural,2013,2025-12-20,2025,644.0,0,1,41,1,Compliant,Non-compliant,Compliant,Compliant,Compliant
V001104,P00317,Pharmacy,Arkansas,South Central,Suburban,2012,2020-02-03,2020,742.0,1,0,44,1,Non-compliant,Non-compliant,Non-compliant,Non-compliant,Compliant
V002789,P00822,Public Health Clinic,Tennessee,Southeast,Urban,2012,2021-06-08,2021,2622.0,0,0,31,1,Non-compliant,Non-compliant,Compliant,Compliant,Compliant
V003641,P01061,Pharmacy,Virginia,Mid-Atlantic,Urban,2020,2025-05-25,2025,674.0,0,1,46,1,Compliant,Compliant,Compliant,Compliant,Compliant
V003676,P01072,Pediatric Practice,Mississippi,Southeast,Suburban,2021,2022-06-08,2022,2017.0,0,0,25,1,Compliant,Compliant,Compliant,Compliant,Non-compliant
V002697,P00794,Public Health Clinic,Texas,South Central,Urban,2023,2024-03-24,2024,2260.0,1,1,26,1,Compliant,Compliant,Non-compliant,Compliant,Non-compliant
V001324,P00379,Pediatric Practice,Tennessee,Southeast,Rural,2020,2021-05-01,2021,1444.0,0,0,34,0,Compliant,Compliant,Compliant,Compliant,Compliant
V003836,P01118,Public Health Clinic,Virginia,Mid-Atlantic,Urban,2011,2024-03-22,2024,2196.0,1,1,28,1,Compliant,Compliant,Compliant,Compliant,Compliant
V000857,P00246,Pharmacy,Alabama,Southeast,urban ,2022,2020-03-25,2020,1045.0,0,0,42,0,Compliant,Compliant,Compliant,Compliant,Compliant
V001613,P00470,Private Clinic,Alabama,Southeast,Urban,2013,2019-05-05,2019,2262.0,1,0,19,0,Compliant,Compliant,Compliant,Missing,Compliant
V002925,P00856,Pharmacy,Kentucky,Southeast,UNK,2020,2019-02-14,2019,1087.0,0,0,24,0,Missing,Compliant,Compliant,Compliant,Compliant
V001105,P00317,Pharmacy,Arkansas,South Central,Suburban,2012,2021-10-07,2021,1097.0,0,1,19,1,Compliant,Compliant,Missing,Compliant,Compliant
V001526,P00442,FQHC,Louisiana,South Central,Urban,2024,2024-07-09,2024,2120.0,0,0,13,0,Compliant,Compliant,Non-compliant,Compliant,Compliant
V003387,P00992,Private Clinic,Tennessee,Southeast,Urban,2023,2025-02-09,2025,1591.0,0,0,30,1,Compliant,Compliant,Compliant,Compliant,Compliant
V000140,P00043,Public Health Clinic,Kentucky,Southeast,Suburban,2021,2020-10-17,2020,5150.0,1,1,26,1,Compliant,Compliant,Compliant,Compliant,Compliant
V003458,P01013,Hospital,Mississippi,Southeast,Rural,2011,2022-02-22,2022,3591.0,0,1,22,1,Compliant,Compliant,Non-compliant,Missing,Compliant
V000970,P00280,FQHC,Alabama,Southeast,Urban,2015,2021-08-05,2021,2064.0,0,0,27,1,Compliant,Compliant,Compliant,Compliant,Non-compliant
V004357,P01272,Private Clinic,Georgia,Southeast,Suburban,2018,2025-05-20,2025,3412.0,0,1,31,0,Non-compliant,Compliant,Compliant,Compliant,Compliant
V001565,P00457,Pediatric Practice,Arkansas,South Central,UNK,2023,2019-04-09,2019,2364.0,0,0,22,0,Compliant,Compliant,Compliant,Compliant,Missing
V000678,P00198,Pharmacy,Kentucky,Southeast,Urban,2018,2025-04-05,2025,1969.0,0,1,17,1,Compliant,Compliant,Non-compliant,Non-compliant,Compliant
V003789,P01106,Private Clinic,Kentucky,Southeast,Urban,2012,2021-12-26,2021,1424.0,1,0,26,1,Compliant,Compliant,Non-compliant,Non-compliant,Compliant
V001334,P00382,Public Health Clinic,Alabama,Southeast,Suburban,2016,2019-07-21,2019,3123.0,0,0,38,0,Compliant,Compliant,Compliant,Compliant,Compliant
V002431,P00723,Public Health Clinic,Mississippi,Southeast,Rural,2016,2023-12-07,2023,1790.0,1,1,33,1,Compliant,Compliant,Compliant,Compliant,Non-compliant
